keyword,cluster_id,typ
kosz prezentowy slodki dla dziecka do 5 lat,0,long_tail
kosz prezentowy dla chrzestnych na podziekowanie,0,long_tail
kosz prezentowy dla noworodka z kosmetykami,0,long_tail
kosz prezentowy ze słodyczami dla dzieci na mikołajki,0,long_tail
kosz prezentowy na jubileusz 50-lecia,0,long_tail
kosz prezentowy na komunię dla dziewczynki,0,long_tail
kosz prezentowy na chrzciny dla chłopca,0,long_tail
kosz prezentowy dla pary na rocznicę ślubu,0,long_tail
kosz prezentowy gratulacyjny dla nowego prezesa,0,long_tail
kosz prezentowy dla kolegi z pracy na urodziny,0,long_tail
kosz prezentowy na komunię dla chłopca,0,long_tail
kosz prezentowy na chrzciny dla dziewczynki,0,long_tail
kosz prezentowy dla szefa na podziękowanie,0,long_tail
jak spakować kosz prezentowy na prezent,0,pytanie_jak
jak złożyć kosz prezentowy krok po kroku,0,pytanie_jak
jak zrobić kosz prezentowy dla mamy,0,pytanie_jak
jak samodzielnie zrobić kosz prezentowy,0,pytanie_jak
jak zapakować kosz prezentowy,0,pytanie_jak
jak ozdobić kosz prezentowy,0,pytanie_jak
jak spakowac kosz prezentowy na wysylke,0,pytanie_jak
jak zrobić kosz prezentowy samemu,0,pytanie_jak
jak zrobić kosz prezentowy,0,pytanie_jak
jak zrobić luksusowy kosz prezentowy,0,pytanie_jak
jak zrobić tani kosz prezentowy,0,pytanie_jak
kosz prezentowy na urodziny,0,token_after
kosz prezentowy na ślub,0,token_after
kosz prezentowy na boże narodzenie,0,token_after
kosz prezentowy ze słodyczami,0,token_after
kosz prezentowy na podziękowanie dla rodziców,0,long_tail
kosz prezentowy dla babci na urodziny,0,long_tail
kosz prezentowy dla mężczyzny,0,token_after
kosz prezentowy dla dziadka na imieniny,0,long_tail
kosz prezentowy na imieniny dla kolegi,0,long_tail
zestaw smakosza na prezent,1,synonim
kosz prezentowy z produktami premium polskimi,1,long_tail
kosz prezentowy z alkoholem dostawa polska,1,long_tail
kosz prezentowy bez alkoholu,1,refine_chip
kosze prezentowe z przekąskami,1,token_after
kosze prezentowe z delikatesami,1,token_after
zestaw delikatesowy na prezent,1,synonim
kosz prezentowy z winami regionalnymi polska,1,long_tail
kosz prezentowy z serami i winem premium,1,long_tail
kosze prezentowe z piwem,1,token_after
kosze prezentowe ze smakołykami,1,token_after
kosz prezentowy dla diabetyka bez cukru,1,long_tail
kosze prezentowe z kawą,1,token_after
kosze prezentowe z certyfikatem ekologicznym,1,long_tail
kosz prezentowy bezalkoholowy dla kierowcy,1,long_tail
kosz prezentowy śródziemnomorski z oliwą i winem,1,long_tail
kosz prezentowy włoski z makaronem i sosami,1,long_tail
kosz prezentowy wegetariański bez mięsa,1,long_tail
kosz prezentowy z herbatami premium dla mamy,1,long_tail
kosz prezentowy wegański bez produktów odzwierzęcych,1,long_tail
kosze prezentowe z szampanem,1,token_after
kosze prezentowe z produktami regionalnymi,1,token_after
kosz prezentowy gorczyca i pikle tradycyjne polskie,1,long_tail
kosze prezentowe z serami,1,token_after
kosze prezentowe z herbatą,1,token_after
kosze prezentowe z wędliną,1,token_after
kosze prezentowe z produktami ekologicznymi,1,token_after
kosze prezentowe z oliwą,1,token_after
kosze prezentowe z czekoladą,1,token_after
kosze prezentowe z alkoholem,1,token_after
kosze prezentowe ze słodyczami,1,token_after
kosz prezentowy ekologiczny,1,token_after
kosz prezentowy dla kobiety na urodziny z winem,1,long_tail
pakiety kawowe na prezent,1,powiązane
kosz prezentowy z winem,1,token_after
produkty do kosza prezentowego,1,powiązane
kosz prezentowy z alkoholem,1,token_after
kosze z winami włoskimi,1,powiązane
prezenty okolicznościowe,1,powiązane
kosz prezentowy dla mężczyzny z piwem i przekąskami,1,long_tail
ekologiczny kosz prezentowy z bio produktami,1,long_tail
kosz prezentowy z produktami regionalnymi polskimi,1,long_tail
kosz prezentowy z kawą i herbatą na urodziny,1,long_tail
kosz prezentowy z winem i czekoladą dla kobiety,1,long_tail
kosz prezentowy z alkoholem na boże narodzenie sklep,1,long_tail
kosz prezentowy dla seniora z herbatą i ciastkami,1,long_tail
duży kosz prezentowy premium z alkoholem i delikatesami,1,long_tail
kosz prezentowy dla alergika bez glutenu,1,long_tail
kosz prezentowy wellness z suplementami,1,long_tail
kosz prezentowy z zestawem win różowych,1,long_tail
kosz prezentowy z produktami z polskich farm,1,long_tail
ekologiczne kosze prezentowe,1,token_before
kosz prezentowy ze zdrowymi przekaskami dla sportowca,1,long_tail
kosz prezentowy dla milosnika kawy arabica,1,long_tail
kosz prezentowy wedrownika z herbatami swiata,1,long_tail
hamper prezentowy,1,synonim
kosz prezentowy z whisky i przekąskami,1,long_tail
kosz prezentowy z zestawem win białych,1,long_tail
kosz prezentowy z zestawem win czerwonych,1,long_tail
kosz prezentowy z orkiszowymi produktami,1,long_tail
kosze prezentowe z winem,1,token_after
kosze prezentowe do 50 zł,2,token_after
kosz prezentowy supermarket czy sklep specjalistyczny,2,long_tail
gdzie kupić kosz prezentowy w krakowie,2,pytanie_gdzie
gdzie kupić kosz prezentowy wiklinowy,2,pytanie_gdzie
gdzie kupić kosz prezentowy w warszawie,2,pytanie_gdzie
gdzie kupić tani kosz prezentowy,2,pytanie_gdzie
gdzie zamówić kosz prezentowy online,2,pytanie_gdzie
gdzie kupić kosz prezentowy z dostawą,2,pytanie_gdzie
kosze prezentowe kraków,2,token_after
kosze prezentowe wrocław,2,token_after
kosze prezentowe warszawa,2,token_after
kosze prezentowe do 100 zł,2,token_after
kosze prezentowe gdańsk,2,token_after
kosze prezentowe łódź,2,token_after
gdzie kupić luksusowy kosz prezentowy,2,pytanie_gdzie
kosze prezentowe poznań,2,token_after
kosze prezentowe z dostawą ekspresową polska,2,long_tail
kosze prezentowe sklep wrocław,2,long_tail
tani kosz prezentowy do 50 zł z dostawą,2,long_tail
kosz prezentowy z dostawą następnego dnia,2,long_tail
kosze prezentowe sklep kraków odbiór osobisty,2,long_tail
kosze prezentowe wysyłka,2,token_after
gdzie kupić kosz prezentowy,2,pytanie_gdzie
gdzie odebrac kosz prezentowy osobiscie warszawa,2,pytanie_gdzie
mały kosz prezentowy do 30 zł,2,long_tail
kosz prezentowy z dostawą do domu,2,token_after
