cluster_id,cluster_name,central_entity,canonical_query,keywords_count
0,Rowery MTB - specyfikacja techniczna (hardtail / full sus / rozmiary),Rower MTB,rower MTB hardtail,24
1,Rowery górskie i szosowe - szeroka kategoria,Rower górski,rowery górskie,91
2,Sklep rowerowy online - zakup i lokalizacja (Łódź),Sklep rowerowy,sklep rowerowy online,39
3,Rowery różnych typów - akcesoria i serwis,Rower,serwis rowerowy,77
4,Marki Superior i Marin - przegląd i opinie,Superior / Marin,superior rowery sklep,14
5,Marin Bikes - modele MTB (San Quentin, DSX),Marin San Quentin,marin san quentin,10
6,Orbea - modele MTB i szosowe (Orca, Oiz, Rise),Orbea Orca,orbea orca,28
7,Rowery elektryczne - wszystkie typy i ceny,Rower elektryczny,rowery elektryczne,45
8,Rower - generyczne frazy i typy ogólne,Rower,rower,23
9,Gravel / e-bike / fatbike - synonimy i anglicyzmy,Gravel bike,gravel bike,10
10,Marin Bikes - modele gravel i miejskie (Four Corners, Nicasio),Marin Four Corners,marin four corners,6
11,Superior - modele XC i konkretne warianty,Superior XC,superior xc 819,7
12,Rowery gravel i szosowe - kategoria i porównania,Rower gravel,rowery gravel,16
13,Orbea - marka, opinie, ceny, sklep,Orbea,rowery orbea,16
14,Rowery - kategorie, outlet, leasing, trendy,Rowery online,rowery online,16
